Series ID,A3348645F,A3348708C,A3348771V,A3348834T,A3348897A,A3348960F,A3349023F,A3349086R,A3348582J,A3348648L,A3348711T,A3348774A,A3348837X,A3348900C,A3348963L,A3349026L,A3349089W,A3348585R,A3348651A,A3348714X,A3348777J,A3348840L,A3348903K,A3348966V,A3349029V,A3349092K,A3348588W
Dec-2007,7552.0,5978.5,4821.4,1674.5,2637.7,514.6,215.8,439.1,23833.7,5759.8,4577.7,3829.1,1309.3,2058.1,401.1,193.5,344.5,18473.1,5733.4,4570.2,3833.8,1310.5,2044.7,396.2,188.5,347.0,18427.0
Jan-2008,5666.2,4528.2,3803.2,1323.9,1981.7,397.9,167.5,332.5,18201.0,5697.8,4617.1,3830.0,1332.5,2022.8,399.5,187.7,346.9,18434.2,5728.3,4583.8,3838.1,1321.8,2041.2,397.3,189.4,347.9,18449.0
Feb-2008,5216.4,4184.1,3449.7,1230.3,1848.0,375.9,164.3,322.6,16791.4,5718.8,4565.6,3836.2,1336.0,2017.7,394.8,188.5,350.8,18408.3,5723.5,4586.6,3837.0,1331.0,2041.1,398.8,190.1,348.9,18457.0
Mar-2008,5513.5,4433.3,3681.3,1295.8,1973.5,392.2,176.2,342.1,17807.9,5717.2,4589.0,3854.2,1330.5,2046.4,397.2,188.7,349.8,18473.0,5718.3,4582.7,3835.8,1340.0,2047.4,400.9,191.0,349.8,18465.4
Apr-2008,5416.9,4379.4,3572.7,1288.4,1979.5,385.5,182.6,338.1,17543.0,5722.7,4573.3,3832.7,1344.2,2075.3,405.3,194.3,351.3,18498.9,5708.7,4575.7,3839.0,1349.8,2060.3,403.6,192.5,349.8,18479.0
May-2008,5588.5,4517.8,3734.9,1335.1,2058.9,400.8,197.0,350.5,18183.5,5704.8,4591.5,3839.8,1356.9,2073.0,409.1,195.3,351.0,18521.4,5692.1,4570.7,3847.3,1360.6,2076.4,406.7,194.6,348.9,18497.4
Jun-2008,5376.1,4313.1,3622.1,1292.3,1962.5,377.3,198.9,335.6,17477.9,5668.6,4511.2,3812.9,1373.5,2076.9,408.5,196.4,345.1,18393.1,5670.6,4572.3,3860.0,1371.4,2090.7,409.8,197.1,347.7,18519.7
Jul-2008,5498.5,4483.8,3965.5,1375.0,2105.3,405.7,219.9,337.5,18391.2,5659.8,4616.1,3926.8,1391.8,2124.7,414.9,199.5,347.6,18681.2,5647.4,4583.8,3876.0,1381.0,2098.2,412.5,199.7,346.8,18544.8
Aug-2008,5446.9,4477.7,3919.0,1345.7,2051.2,401.2,220.1,336.4,18198.2,5635.9,4619.0,3900.1,1387.2,2099.7,414.5,202.5,344.2,18603.1,5629.5,4603.1,3894.1,1387.7,2098.4,414.6,202.3,346.6,18575.1
Sep-2008,5371.9,4373.5,3862.6,1323.5,2021.4,390.9,211.2,330.2,17885.2,5573.7,4592.2,3901.4,1389.5,2097.7,414.4,205.6,346.3,18520.8,5627.8,4628.4,3911.7,1390.8,2093.7,416.3,204.8,347.5,18620.1
Oct-2008,5763.7,4774.8,4042.6,1430.5,2135.5,426.9,214.0,356.6,19144.5,5661.0,4670.4,3927.0,1392.6,2078.5,417.3,206.4,351.7,18704.7,5647.9,4659.3,3928.4,1391.3,2088.1,418.1,207.4,349.3,18690.6
Nov-2008,5945.4,4897.4,4050.0,1432.9,2143.1,433.3,207.8,368.6,19478.5,5681.6,4704.7,3936.7,1385.4,2071.8,419.9,209.7,351.3,18761.1,5689.3,4693.9,3944.8,1390.9,2082.8,420.2,210.1,351.6,18787.7
Dec-2008,7733.9,6379.8,5186.4,1854.0,2749.0,571.1,246.9,463.1,25184.3,5912.6,4889.4,4106.6,1441.6,2151.8,442.4,220.9,365.2,19530.6,5744.7,4729.4,3964.1,1391.0,2079.1,422.7,212.6,354.0,18905.7
Jan-2009,5990.9,4818.1,4064.0,1422.5,2110.0,430.5,195.5,353.0,19384.5,5959.0,4870.6,4073.5,1422.2,2130.1,428.7,217.4,363.8,19465.4,5804.4,4764.0,3987.4,1392.6,2078.3,425.3,214.3,356.0,19033.3
Feb-2009,5189.9,4244.2,3453.3,1229.6,1842.4,391.6,182.3,320.6,16853.8,5899.4,4827.6,3996.3,1395.6,2086.7,427.9,216.2,362.2,19211.9,5860.0,4796.7,4011.9,1395.8,2081.5,428.0,215.3,357.9,19157.2
Mar-2009,5751.0,4804.1,3932.4,1389.9,2053.4,431.8,210.6,354.6,18927.9,6026.1,4954.6,4136.2,1427.7,2143.5,442.1,224.7,363.9,19718.8,5907.2,4823.9,4032.8,1400.1,2088.5,430.5,215.5,359.7,19264.1
Apr-2009,5795.8,4770.4,3890.2,1374.9,2028.6,428.1,205.7,355.7,18849.3,6071.7,4958.2,4142.5,1434.1,2107.2,443.7,217.6,369.2,19744.1,5944.5,4847.9,4049.2,1405.0,2098.7,432.6,215.1,361.8,19354.6
May-2009,5943.7,4852.4,4038.8,1412.8,2129.3,429.8,217.6,373.1,19397.5,6123.1,4966.5,4187.8,1450.8,2173.2,445.8,219.3,374.0,19940.4,5972.7,4867.8,4060.5,1408.4,2110.0,434.5,214.6,364.1,19426.8
Jun-2009,5799.4,4717.1,3952.6,1373.2,2066.7,412.2,220.5,361.2,18902.9,6115.2,4952.3,4122.7,1441.0,2173.1,442.2,215.7,371.5,19833.7,5997.9,4884.2,4067.6,1411.0,2121.5,436.4,214.6,366.3,19490.6
Jul-2009,5884.7,4798.1,4109.8,1401.3,2134.2,432.4,240.0,360.0,19360.6,6040.8,4898.0,4062.4,1414.3,2151.3,438.1,217.2,370.6,19592.8,6030.3,4898.8,4073.1,1413.1,2132.4,438.5,215.3,368.3,19561.3
Aug-2009,5861.6,4745.9,4094.5,1357.5,2078.3,422.9,236.1,359.9,19156.7,6068.7,4918.5,4091.0,1413.7,2138.3,440.0,217.2,372.1,19659.5,6076.3,4914.3,4079.3,1415.7,2142.5,440.5,216.8,370.2,19650.2
Sep-2009,5852.2,4724.0,4045.1,1354.5,2059.2,417.3,221.9,356.1,19030.3,6057.1,4948.8,4076.9,1409.6,2128.1,441.0,216.7,370.6,19648.7,6129.0,4933.6,4088.2,1419.6,2152.2,442.2,218.7,371.7,19752.9
Oct-2009,6315.2,5001.0,4231.3,1454.2,2228.4,457.7,230.9,375.8,20294.6,6167.3,4889.0,4092.0,1413.3,2156.8,446.9,221.9,368.7,19755.8,6177.7,4952.9,4096.4,1423.6,2161.0,443.1,220.3,372.8,19848.4
Nov-2009,6603.4,5244.2,4195.0,1496.9,2232.7,457.5,220.0,390.5,20840.1,6301.9,5032.0,4111.0,1460.3,2183.9,444.9,223.0,377.4,20134.4,6212.3,4971.5,4100.7,1427.8,2170.0,442.9,221.5,374.0,19921.7
Dec-2009,8259.6,6542.1,5218.1,1827.9,2811.2,571.0,249.9,478.8,25958.5,6272.5,4964.6,4111.5,1415.7,2185.5,441.8,223.4,375.6,19990.5,6227.8,4989.5,4099.8,1432.7,2179.3,441.9,222.5,375.2,19969.3
Jan-2010,6229.9,4930.7,4049.3,1434.6,2154.7,431.7,195.6,365.6,19792.0,6242.8,5034.8,4102.7,1449.0,2190.7,436.0,221.0,376.3,20053.3,6228.0,5007.0,4093.7,1438.6,2186.9,440.9,223.5,376.4,19995.0
Feb-2010,5389.3,4403.5,3528.5,1257.3,1926.3,404.4,188.9,333.3,17431.5,6128.2,5024.8,4086.3,1430.2,2182.1,440.8,223.8,375.9,19892.0,6222.2,5025.5,4086.9,1445.5,2191.1,440.2,224.6,377.6,20013.6
Mar-2010,6038.6,4918.8,3925.1,1440.5,2135.8,442.0,214.6,374.9,19490.3,6221.8,5007.0,4046.8,1436.0,2184.0,438.4,225.0,379.3,19938.3,6224.6,5047.2,4084.1,1452.9,2191.9,439.7,225.6,378.6,20044.6
Apr-2010,5846.5,4847.3,3829.7,1403.2,2104.1,421.0,216.0,364.1,19032.0,6221.4,5087.2,4109.4,1483.7,2208.4,441.4,229.4,380.3,20161.1,6246.3,5075.0,4089.1,1459.7,2191.8,439.1,226.5,379.3,20106.7
May-2010,6087.5,4944.4,3927.7,1417.9,2133.7,422.3,225.4,374.5,19533.6,6301.7,5104.8,4086.4,1471.4,2189.8,441.2,227.0,378.2,20200.5,6283.6,5107.9,4101.5,1464.5,2193.1,438.1,227.4,379.5,20195.8
Jun-2010,6005.4,4896.5,3933.1,1398.0,2095.4,406.7,230.9,373.2,19339.1,6333.8,5140.3,4101.4,1462.9,2194.2,436.3,226.6,382.6,20278.1,6320.0,5142.6,4116.6,1465.9,2196.1,436.8,227.5,379.6,20285.1
Jul-2010,6215.9,5095.4,4242.8,1449.5,2179.7,427.4,252.5,368.6,20231.6,6348.3,5186.6,4166.5,1460.3,2187.5,432.8,226.3,377.7,20386.1,6340.7,5173.7,4129.5,1462.6,2199.2,435.5,226.6,379.3,20347.2
Aug-2010,6144.2,5016.8,4145.1,1398.9,2132.5,414.2,244.3,364.9,19860.8,6402.0,5198.1,4146.1,1453.5,2204.0,432.8,225.6,380.5,20442.5,6343.2,5198.7,4137.5,1456.4,2202.1,434.5,224.6,379.5,20376.6
Sep-2010,6174.6,5041.3,4123.5,1396.5,2170.8,411.9,235.2,362.6,19916.3,6336.6,5231.5,4144.4,1450.8,2228.3,432.5,227.5,376.8,20428.3,6335.8,5212.2,4140.7,1449.4,2206.5,433.6,222.5,380.5,20381.1
Oct-2010,6333.6,5262.2,4197.5,1475.4,2256.8,438.9,223.0,387.9,20575.4,6250.2,5184.9,4108.9,1449.6,2210.4,436.3,218.2,381.4,20239.8,6330.2,5211.5,4140.3,1444.5,2214.7,432.7,220.9,382.1,20376.8
Nov-2010,6621.3,5437.4,4263.7,1494.5,2281.2,451.2,215.1,399.3,21163.7,6314.7,5223.0,4143.2,1438.3,2216.6,434.5,216.1,385.6,20372.1,6332.3,5202.4,4140.3,1442.8,2227.2,431.4,220.6,384.0,20380.9
Dec-2010,8387.7,6952.0,5270.5,1846.1,2849.9,559.3,243.8,489.9,26599.2,6363.3,5240.9,4162.4,1427.6,2220.0,429.7,218.9,384.6,20447.5,6343.7,5194.0,4144.3,1443.0,2243.4,429.8,221.6,385.4,20405.6
Jan-2011,6343.8,5007.6,4074.3,1423.4,2221.6,415.1,199.4,378.6,20063.7,6370.0,5149.6,4152.3,1451.9,2273.3,422.0,224.5,391.0,20434.5,6355.4,5195.2,4155.2,1444.1,2262.7,428.1,223.7,386.0,20450.9
Feb-2011,5614.9,4513.7,3705.4,1272.1,2040.2,394.9,194.9,343.2,18079.3,6386.8,5155.4,4291.3,1449.9,2307.2,429.6,230.7,383.7,20634.6,6358.0,5209.8,4171.2,1444.2,2283.7,426.8,226.1,385.3,20505.7
Mar-2011,6136.0,5081.9,4004.6,1435.7,2254.5,423.6,219.4,378.1,19933.8,6355.2,5204.2,4165.0,1448.6,2303.1,425.3,229.4,382.2,20513.0,6348.6,5236.3,4189.1,1442.0,2305.4,426.2,228.0,383.7,20559.7
Apr-2011,6053.8,5140.5,4018.3,1390.6,2227.1,415.6,215.1,372.0,19833.0,6344.7,5349.3,4245.3,1440.6,2314.8,428.6,228.4,382.8,20734.3,6332.4,5267.3,4208.1,1437.6,2325.5,426.9,228.8,381.7,20608.7
May-2011,6038.9,5127.7,4068.0,1380.1,2269.0,408.2,224.8,371.3,19888.1,6301.3,5312.3,4233.9,1431.4,2340.5,428.0,227.6,379.7,20654.8,6320.7,5295.4,4227.1,1432.7,2343.1,428.6,228.9,380.3,20656.9
Jun-2011,5971.9,5078.4,4068.6,1349.0,2268.3,401.0,234.0,367.2,19738.3,6252.9,5298.1,4228.6,1416.2,2360.5,428.1,227.9,378.5,20590.9,6323.1,5313.5,4245.7,1429.5,2360.4,430.9,229.1,379.6,20711.9
Jul-2011,6161.2,5182.8,4285.9,1402.5,2347.1,421.0,252.4,366.8,20419.6,6355.4,5315.9,4252.4,1426.7,2387.2,432.3,229.8,378.0,20777.7,6342.3,5319.5,4261.0,1430.0,2378.6,433.5,229.8,379.5,20774.1
Aug-2011,6175.6,5142.0,4294.8,1393.3,2342.0,423.6,251.0,366.1,20388.3,6407.2,5322.0,4281.2,1436.0,2401.2,438.1,230.0,380.1,20895.8,6373.8,5318.1,4270.5,1433.9,2397.4,435.5,231.0,379.5,20839.9
Sep-2011,6255.1,5140.8,4298.1,1403.2,2346.2,421.0,241.8,369.6,20475.9,6407.3,5289.4,4293.8,1444.3,2397.6,439.3,232.9,383.2,20887.9,6405.4,5315.6,4276.5,1438.7,2414.9,436.6,232.1,379.7,20899.4
Oct-2011,6482.9,5378.4,4331.6,1455.3,2475.6,433.6,240.1,385.9,21183.4,6409.9,5343.4,4276.1,1444.9,2440.0,435.9,235.1,382.4,20967.7,6423.9,5317.0,4282.4,1442.4,2431.0,436.2,232.9,380.2,20946.0
Nov-2011,6781.2,5513.6,4428.6,1515.9,2547.3,453.6,232.8,391.2,21864.2,6454.3,5292.3,4304.2,1449.4,2460.3,436.7,235.1,375.5,21007.7,6424.8,5320.5,4291.3,1444.6,2447.3,434.9,233.3,381.4,20978.0
Dec-2011,8558.2,7119.7,5414.5,1869.2,3157.0,563.4,255.6,487.9,27425.4,6469.0,5360.7,4266.0,1447.2,2454.6,432.0,229.1,380.8,21039.4,6413.3,5320.9,4303.2,1445.8,2465.4,433.2,233.5,383.3,20998.6
Jan-2012,6317.7,5159.4,4230.3,1405.3,2412.3,420.7,208.1,375.8,20529.6,6380.6,5307.7,4313.2,1432.0,2480.3,426.6,234.5,389.7,20964.5,6405.2,5321.0,4322.4,1447.7,2486.3,431.9,234.0,386.0,21034.4
Feb-2012,5764.9,4796.1,3915.6,1319.8,2297.7,412.0,205.7,359.3,19071.2,6338.7,5299.5,4375.9,1452.1,2502.9,432.0,235.5,388.2,21025.0,6414.4,5324.2,4350.1,1451.2,2509.5,431.3,235.1,389.0,21104.8
Mar-2012,6271.1,5302.3,4259.0,1456.0,2517.6,438.0,229.0,395.1,20868.1,6421.9,5372.1,4383.8,1457.8,2541.5,433.6,236.8,394.5,21242.0,6443.6,5332.1,4382.7,1455.3,2533.2,431.2,236.9,392.1,21207.1
Apr-2012,6116.0,5024.6,4098.0,1385.9,2397.4,410.0,220.0,376.9,20028.9,6499.8,5293.4,4400.6,1466.9,2554.9,431.7,237.2,394.1,21278.5,6489.6,5344.6,4415.0,1459.1,2556.1,431.0,238.7,395.1,21329.1
May-2012,6350.6,5201.0,4306.5,1424.9,2547.8,413.4,240.2,388.6,20873.1,6556.8,5349.5,4434.1,1457.8,2589.9,428.7,240.2,396.2,21453.2,6542.6,5358.5,4444.0,1461.5,2578.3,430.1,240.2,397.6,21452.8
Jun-2012,6353.2,5195.4,4365.0,1404.9,2510.0,406.0,252.3,391.4,20878.1,6644.9,5415.7,4509.2,1467.5,2597.1,431.4,245.3,400.8,21711.9,6589.0,5368.2,4467.4,1461.5,2598.9,428.1,240.9,399.9,21553.8
Jul-2012,6337.6,5186.0,4465.2,1408.4,2517.1,407.1,263.1,380.0,20964.6,6609.4,5379.7,4471.6,1448.3,2605.9,423.2,240.6,396.8,21575.6,6616.2,5370.4,4484.2,1458.4,2617.7,425.2,240.8,401.4,21614.2
Aug-2012,6444.8,5271.5,4541.1,1428.2,2596.0,413.4,261.9,395.1,21352.0,6604.8,5359.0,4483.6,1456.6,2623.3,422.7,238.9,408.9,21597.9,6620.5,5363.1,4494.8,1453.5,2633.9,422.2,240.5,401.6,21630.2
Sep-2012,6434.3,5130.7,4458.2,1405.1,2577.8,396.3,244.7,393.2,21040.2,6635.4,5353.5,4513.9,1458.1,2659.1,422.1,238.5,404.2,21684.7,6613.4,5352.4,4502.8,1448.2,2646.5,420.2,240.3,400.7,21624.4
Oct-2012,6664.3,5350.9,4588.3,1461.4,2726.9,414.6,247.0,397.0,21850.4,6602.6,5324.8,4523.2,1440.4,2677.8,415.3,241.7,395.7,21621.5,6608.2,5344.7,4511.9,1443.2,2655.6,419.5,240.5,399.4,21622.9
Nov-2012,7003.2,5633.8,4675.8,1500.3,2775.7,436.2,239.1,416.0,22680.2,6597.3,5336.3,4500.1,1427.9,2653.0,415.6,239.2,399.3,21568.7,6613.6,5343.1,4525.5,1438.8,2660.4,419.9,241.1,398.9,21641.3
Dec-2012,8598.7,6969.2,5641.4,1814.6,3346.2,543.2,265.4,497.7,27676.4,6592.4,5341.4,4530.9,1435.9,2652.2,424.4,242.0,391.3,21610.5,6632.4,5350.4,4543.9,1435.6,2662.5,421.1,241.8,399.8,21687.5
Jan-2013,6647.5,5274.0,4516.7,1434.9,2601.0,425.0,220.9,390.6,21510.6,6647.5,5365.5,4553.4,1443.6,2653.3,424.9,246.0,403.2,21737.3,6661.1,5362.3,4564.7,1433.7,2664.3,422.0,242.0,402.3,21752.4
Feb-2013,5927.2,4748.3,4028.0,1258.2,2374.1,392.1,203.8,368.2,19299.8,6751.4,5406.9,4643.6,1431.2,2676.8,424.9,240.7,409.8,21985.2,6690.6,5373.9,4583.8,1433.8,2667.4,422.1,241.4,405.7,21818.7
Mar-2013,6531.4,5283.1,4439.8,1434.8,2650.5,427.1,230.0,413.9,21410.5,6711.6,5382.4,4578.0,1435.7,2678.4,421.9,241.8,411.1,21860.9,6714.4,5382.9,4599.8,1436.6,2672.4,421.9,240.7,409.0,21877.6
Apr-2013,6340.0,5106.1,4292.0,1359.1,2490.2,395.8,223.2,394.6,20601.1,6744.9,5367.4,4606.8,1436.4,2656.6,417.7,238.2,412.4,21880.3,6729.8,5390.3,4612.7,1442.4,2677.3,421.6,240.5,411.0,21925.6
May-2013,6542.1,5280.5,4512.4,1419.7,2674.5,410.6,240.7,400.5,21481.0,6739.6,5409.9,4625.7,1450.1,2705.3,422.7,240.5,409.4,22003.1,6739.2,5398.4,4624.0,1450.4,2679.2,422.3,241.5,411.7,21966.8
Jun-2013,6413.3,5154.2,4445.1,1376.1,2559.3,389.8,245.2,401.5,20984.5,6736.3,5412.3,4638.0,1453.4,2678.7,421.3,240.0,413.1,21993.1,6750.1,5412.1,4637.9,1459.9,2678.1,424.4,243.6,411.9,22018.1
Jul-2013,6480.5,5221.0,4649.2,1448.0,2590.2,417.8,273.7,393.8,21474.2,6739.4,5425.1,4640.0,1481.2,2667.6,430.5,248.3,410.6,22042.6,6769.4,5434.0,4656.5,1469.4,2677.6,428.0,246.4,412.2,22093.2
Aug-2013,6675.2,5387.6,4741.6,1453.0,2664.4,424.0,277.7,400.5,22024.0,6808.1,5454.5,4676.9,1479.3,2687.4,434.7,252.1,411.7,22204.7,6803.3,5465.3,4678.3,1477.0,2680.1,432.9,248.9,413.4,22198.9
Sep-2013,6604.1,5262.9,4632.1,1423.8,2563.7,409.0,258.4,397.9,21551.9,6875.4,5512.8,4713.9,1486.4,2665.7,435.7,252.5,414.0,22356.5,6852.1,5504.6,4700.1,1481.9,2687.3,438.6,250.8,414.9,22330.1
Oct-2013,7028.2,5618.7,4819.3,1505.5,2758.9,443.1,257.7,422.3,22853.7,6898.3,5532.1,4725.4,1472.6,2688.7,444.2,251.1,419.2,22431.6,6912.7,5546.5,4718.6,1484.6,2697.5,444.3,252.0,416.2,22472.9
Nov-2013,7393.5,5881.1,4914.0,1566.6,2860.6,467.7,251.5,436.1,23771.3,6962.3,5602.0,4737.2,1489.3,2725.7,447.3,252.0,414.9,22630.9,6982.6,5587.6,4734.2,1485.5,2707.9,449.5,252.7,416.6,22618.0
Dec-2013,9189.0,7356.6,5909.5,1879.1,3417.4,585.2,270.4,530.4,29137.6,7105.4,5669.0,4761.5,1489.5,2727.7,458.3,248.3,419.7,22879.4,7121.1,5672.5,4778.6,1485.7,2714.7,453.6,253.4,415.9,22898.6
Jan-2014,7237.4,5654.3,4787.3,1497.2,2681.9,468.0,233.9,400.6,22960.6,7226.8,5722.2,4791.2,1503.7,2714.9,461.0,259.6,413.7,23093.1,7182.5,5698.3,4787.8,1485.5,2715.4,456.5,254.5,413.8,22997.4
Feb-2014,6355.1,5033.2,4173.5,1312.8,2415.3,419.9,216.1,369.2,20295.0,7233.3,5719.8,4800.0,1492.3,2722.2,454.6,255.1,410.1,23087.4,7230.6,5713.9,4794.8,1485.6,2712.0,458.5,255.8,411.0,23064.8
Mar-2014,7045.2,5560.5,4596.0,1453.4,2624.7,454.3,243.9,408.2,22386.2,7297.3,5702.5,4801.3,1482.4,2689.8,457.9,256.7,409.4,23097.3,7265.3,5723.9,4800.1,1486.4,2707.8,459.8,256.9,408.4,23110.2
Apr-2014,6914.8,5492.2,4512.1,1426.3,2559.4,442.1,239.1,389.7,21975.8,7294.9,5754.1,4802.2,1485.9,2699.0,461.0,256.5,404.9,23158.5,7290.0,5734.5,4802.5,1488.5,2706.2,461.1,257.5,407.0,23148.1
May-2014,7078.5,5598.7,4694.4,1463.5,2676.0,446.9,260.7,401.4,22620.1,7257.2,5724.5,4807.0,1492.0,2705.4,460.7,259.2,406.1,23112.0,7313.2,5750.3,4802.4,1492.6,2709.8,462.4,257.4,407.5,23195.6
Jun-2014,6932.2,5464.0,4583.6,1408.7,2586.1,433.2,263.9,389.6,22061.3,7323.3,5756.1,4791.4,1496.0,2726.8,467.4,258.2,406.7,23225.9,7343.7,5772.9,4800.0,1499.3,2717.4,463.6,257.0,409.8,23263.4
Jul-2014,7178.3,5614.7,4841.7,1489.8,2661.2,451.1,280.3,400.2,22917.2,7418.7,5799.4,4807.3,1514.4,2728.7,464.0,253.9,416.0,23402.5,7383.7,5797.9,4796.0,1508.1,2726.3,464.4,256.6,413.8,23346.5
Aug-2014,7135.1,5685.7,4790.4,1472.7,2682.3,448.5,279.3,404.3,22898.2,7409.1,5849.8,4787.3,1514.1,2735.4,464.8,257.5,418.0,23436.0,7429.0,5820.6,4792.9,1517.5,2734.1,464.1,256.3,418.3,23432.9
Sep-2014,7330.2,5689.1,4768.1,1482.5,2669.2,443.6,263.8,410.8,23057.2,7540.0,5897.8,4820.8,1532.9,2757.4,468.1,255.5,425.5,23697.9,7527.8,5884.2,4815.8,1536.8,2756.3,466.6,256.2,424.3,23667.9
Oct-2014,7759.8,6023.4,4947.3,1589.9,2853.1,466.8,262.0,430.5,24332.7,7585.2,5895.3,4828.6,1550.5,2761.8,463.0,255.3,426.8,23766.6,7564.5,5898.6,4824.5,1544.4,2762.8,466.4,256.1,426.9,23744.3
Nov-2014,8020.7,6151.9,4939.0,1622.5,2870.1,481.7,254.6,452.9,24793.5,7592.5,5896.7,4813.6,1558.4,2763.1,468.3,257.3,431.5,23781.3,7591.6,5912.2,4843.1,1551.1,2769.9,467.3,256.2,427.9,23819.1
Dec-2014,9825.4,7645.5,6048.6,1968.1,3517.5,594.1,282.4,544.2,30425.9,7596.2,5903.6,4855.8,1551.9,2778.1,464.6,257.7,430.7,23838.6,7610.7,5927.2,4869.7,1556.7,2777.1,469.1,256.2,427.8,23894.5
Jan-2015,7663.1,5904.7,4937.5,1546.2,2751.1,480.2,229.7,412.0,23924.6,7628.9,5957.0,4916.4,1552.5,2777.0,472.3,253.3,420.2,23977.7,7627.7,5946.1,4899.6,1561.8,2783.5,471.4,256.0,427.6,23973.5
Feb-2015,6730.3,5283.1,4302.5,1383.7,2494.4,440.5,218.4,387.0,21239.9,7659.0,5990.6,4938.7,1572.4,2812.9,477.5,257.4,429.4,24137.8,7646.2,5967.7,4927.5,1566.7,2788.1,473.4,255.7,428.1,24053.4
Mar-2015,7455.4,5887.7,4807.2,1562.9,2723.4,480.2,242.0,425.4,23584.2,7660.3,5983.8,4970.1,1572.8,2785.8,477.1,255.5,427.0,24132.5,7670.4,5990.0,4949.0,1571.2,2791.0,474.7,255.7,429.6,24131.5
Apr-2015,7250.0,5726.7,4618.5,1491.8,2626.0,448.6,239.2,412.1,22812.9,7691.1,6018.3,4950.5,1577.9,2780.4,473.3,255.7,432.5,24179.7,7702.3,6012.4,4962.1,1575.4,2793.4,475.3,255.8,431.8,24208.5
May-2015,7476.0,5838.6,4796.4,1535.3,2743.5,458.0,253.8,430.9,23532.6,7718.0,6026.3,4958.8,1573.4,2798.8,474.5,254.8,436.4,24241.0,7739.8,6037.8,4966.5,1579.0,2796.9,475.6,256.3,433.9,24286.0
Jun-2015,7436.6,5777.1,4775.5,1508.9,2666.1,444.0,265.9,419.4,23293.5,7808.3,6062.0,4964.5,1587.9,2802.6,475.2,257.4,436.9,24394.6,7780.1,6069.4,4965.9,1581.9,2803.1,476.5,257.0,435.2,24369.1
Jul-2015,7575.9,5914.6,5035.1,1558.5,2756.5,468.5,286.8,419.9,24015.9,7823.2,6095.9,4978.9,1582.4,2807.3,478.1,259.5,436.6,24462.0,7820.4,6108.0,4964.8,1584.5,2811.4,478.3,257.7,435.6,24460.8
Aug-2015,7542.5,5938.6,4923.3,1525.5,2738.8,457.8,278.6,419.0,23824.2,7870.6,6152.8,4965.3,1584.2,2818.3,480.7,257.1,435.6,24564.7,7859.4,6150.7,4966.4,1588.1,2820.0,480.8,258.3,436.1,24559.9
Sep-2015,7664.8,5985.7,4898.0,1550.3,2762.2,459.6,267.0,421.2,24008.9,7872.7,6202.8,4955.1,1595.6,2836.0,484.4,260.1,436.6,24643.4,7895.5,6191.0,4971.2,1592.8,2825.9,483.7,259.2,437.9,24657.2
Oct-2015,8168.2,6396.2,5108.8,1640.8,2928.2,492.0,267.3,445.7,25447.3,7938.5,6239.2,4970.7,1595.6,2830.0,488.2,259.1,436.3,24757.5,7928.5,6225.0,4979.9,1598.4,2827.0,486.5,260.0,441.5,24746.9
Nov-2015,8351.7,6507.8,5119.8,1661.9,2921.8,503.6,256.8,460.1,25783.5,7952.6,6249.9,5001.7,1606.4,2834.0,489.4,259.8,443.1,24837.0,7960.1,6251.0,4991.9,1604.6,2825.5,489.2,260.9,446.7,24829.9
Dec-2015,10383.7,8159.5,6262.0,2050.8,3574.5,626.6,286.0,580.0,31923.0,7993.1,6267.9,5000.8,1609.8,2811.6,489.0,260.3,459.0,24891.6,7991.3,6268.9,5003.6,1611.1,2823.6,491.9,261.6,452.3,24904.1
Jan-2016,7997.5,6168.4,5016.9,1601.9,2778.8,501.8,238.7,449.2,24753.1,8030.9,6273.1,5026.4,1620.0,2820.5,495.2,266.5,458.3,24990.9,8021.0,6282.0,5011.7,1617.0,2822.5,494.3,261.9,456.8,24967.1
Feb-2016,7301.0,5740.6,4517.4,1472.4,2572.8,472.2,228.9,429.5,22734.9,8035.7,6285.5,5012.6,1621.6,2807.9,496.1,260.1,461.6,24980.9,8045.0,6291.6,5014.8,1621.9,2823.4,496.3,261.4,459.3,25013.6
Mar-2016,7847.1,6179.5,4878.9,1617.2,2792.3,502.2,245.1,455.0,24517.3,8062.4,6318.9,5038.8,1626.8,2836.8,499.2,259.9,460.0,25102.9,8061.3,6296.9,5015.1,1626.7,2825.2,497.9,260.1,459.8,25043.0
Apr-2016,7703.5,6088.0,4726.8,1569.5,2712.5,481.7,246.8,447.1,23975.9,8091.2,6290.7,5008.9,1635.4,2843.4,501.5,259.6,459.1,25089.8,8071.5,6300.6,5018.8,1632.2,2826.7,499.0,258.5,459.3,25066.6
May-2016,7796.0,6083.8,4781.0,1582.6,2721.3,478.1,254.9,445.9,24143.5,8091.5,6319.2,4986.1,1630.7,2820.3,498.1,256.8,456.0,25058.7,8080.4,6306.5,5031.9,1638.8,2827.5,499.8,256.9,459.1,25100.9
Jun-2016,7756.2,6072.5,4894.2,1568.5,2708.3,465.8,262.7,437.2,24165.3,8080.5,6324.1,5071.7,1641.9,2821.9,497.4,254.2,457.5,25149.3,8094.1,6318.5,5056.5,1645.7,2827.5,500.4,256.1,460.2,25159.1
Jul-2016,7792.0,6059.4,5104.3,1621.3,2764.9,490.2,281.4,450.1,24563.7,8082.2,6285.2,5076.1,1656.8,2828.0,502.8,255.1,462.4,25148.6,8117.2,6338.3,5090.0,1651.4,2827.5,501.2,256.2,462.5,25244.4
